YEAR,State,Gender,Candidates,Winners
2004,A&N ISLANDS,FEMALE,1,0
2004,A&N ISLANDS,MALE,11,1
2004,ANDHRA PRADESH,FEMALE,21,3
2004,ANDHRA PRADESH,MALE,258,39
2004,ARUNACHAL PRADESH,MALE,13,2
2004,ASSAM,FEMALE,6,0
2004,ASSAM,MALE,110,14
2004,BIHAR,FEMALE,14,3
2004,BIHAR,MALE,450,38
2004,CHANDIGARH,FEMALE,1,0
2004,CHANDIGARH,MALE,16,1
2004,CHHATTISGARH,FEMALE,12,1
2004,CHHATTISGARH,MALE,90,10
2004,D&N HAVELI,FEMALE,1,0
2004,D&N HAVELI,MALE,9,1
2004,DAMAN & DIU,MALE,3,1
2004,GOA,FEMALE,1,0
2004,GOA,MALE,15,2
2004,GUJARAT,FEMALE,11,1
2004,GUJARAT,MALE,151,25
2004,HARYANA,FEMALE,8,1
2004,HARYANA,MALE,152,9
2004,HIMACHAL PRADESH,FEMALE,2,1
2004,HIMACHAL PRADESH,MALE,21,3
2004,JAMMU & KASHMIR,FEMALE,4,1
2004,JAMMU & KASHMIR,MALE,79,5
2004,JHARKHAND,FEMALE,13,1
2004,JHARKHAND,MALE,169,13
2004,KARNATAKA,FEMALE,10,2
2004,KARNATAKA,MALE,162,26
2004,KERALA,FEMALE,15,2
2004,KERALA,MALE,162,18
2004,LAKSHADWEEP,MALE,4,1
2004,MADHYA PRADESH,FEMALE,30,2
2004,MADHYA PRADESH,MALE,264,27
2004,MAHARASHTRA,FEMALE,29,5
2004,MAHARASHTRA,MALE,385,44
2004,MANIPUR,FEMALE,1,0
2004,MANIPUR,MALE,11,2
2004,MEGHALAYA,MALE,5,2
2004,MIZORAM,MALE,3,1
2004,NAGALAND,MALE,5,1
2004,NCT OF DELHI,FEMALE,15,1
2004,NCT OF DELHI,MALE,116,7
2004,ORISSA,FEMALE,9,2
2004,ORISSA,MALE,91,19
2004,PUDUCHERRY,FEMALE,1,0
2004,PUDUCHERRY,MALE,20,1
2004,PUNJAB,FEMALE,10,2
2004,PUNJAB,MALE,132,11
2004,RAJASTHAN,FEMALE,17,2
2004,RAJASTHAN,MALE,168,23
2004,SIKKIM,MALE,4,1
2004,TAMIL NADU,FEMALE,23,4
2004,TAMIL NADU,MALE,550,35
2004,TRIPURA,MALE,12,2
2004,UTTAR PRADESH,FEMALE,61,7
2004,UTTAR PRADESH,MALE,1077,73
2004,UTTARAKHAND,FEMALE,5,0
2004,UTTARAKHAND,MALE,49,5
2004,WEST BENGAL,FEMALE,34,4
2004,WEST BENGAL,MALE,321,38
2009,A&N ISLANDS,FEMALE,1,0
2009,A&N ISLANDS,MALE,10,1
2009,ANDHRA PRADESH,FEMALE,39,5
2009,ANDHRA PRADESH,MALE,532,37
2009,ARUNACHAL PRADESH,MALE,8,2
2009,ASSAM,FEMALE,11,2
2009,ASSAM,MALE,147,12
2009,BIHAR,FEMALE,46,4
2009,BIHAR,MALE,626,36
2009,CHANDIGARH,FEMALE,1,0
2009,CHANDIGARH,MALE,13,1
2009,CHHATTISGARH,FEMALE,15,2
2009,CHHATTISGARH,MALE,163,9
2009,D&N HAVELI,MALE,5,1
2009,DAMAN & DIU,MALE,7,1
2009,GOA,FEMALE,2,0
2009,GOA,MALE,16,2
2009,GUJARAT,FEMALE,26,4
2009,GUJARAT,MALE,333,22
2009,HARYANA,FEMALE,14,2
2009,HARYANA,MALE,196,8
2009,HIMACHAL PRADESH,FEMALE,1,0
2009,HIMACHAL PRADESH,MALE,30,4
2009,JAMMU & KASHMIR,FEMALE,6,0
2009,JAMMU & KASHMIR,MALE,75,6
2009,JHARKHAND,FEMALE,14,0
2009,JHARKHAND,MALE,237,14
2009,KARNATAKA,FEMALE,19,1
2009,KARNATAKA,MALE,408,27
2009,KERALA,FEMALE,15,0
2009,KERALA,MALE,202,20
2009,LAKSHADWEEP,MALE,4,1
2009,MADHYA PRADESH,FEMALE,29,6
2009,MADHYA PRADESH,MALE,402,24
2009,MAHARASHTRA,FEMALE,55,3
2009,MAHARASHTRA,MALE,764,45
2009,MANIPUR,FEMALE,3,0
2009,MANIPUR,MALE,13,2
2009,MEGHALAYA,FEMALE,3,1
2009,MEGHALAYA,MALE,8,1
2009,MIZORAM,MALE,4,1
2009,NAGALAND,MALE,3,1
2009,NCT OF DELHI,FEMALE,18,1
2009,NCT OF DELHI,MALE,142,6
2009,ORISSA,FEMALE,9,0
2009,ORISSA,MALE,148,21
2009,PUDUCHERRY,MALE,28,1
2009,PUNJAB,FEMALE,13,4
2009,PUNJAB,MALE,206,9
2009,RAJASTHAN,FEMALE,31,3
