YEAR,Party_Standard,Seats,Rank
2004,AITC,2,9.0
2004,BJP,138,3.0
2004,BSP,19,6.0
2004,CPM,43,4.0
2004,INC,147,1.0
2004,OTHERS,144,2.0
2004,SHS,12,7.0
2004,SP,36,5.0
2004,TDP,5,8.0
2009,AITC,19,6.0
2009,BJP,117,3.0
2009,BSP,21,5.0
2009,CPM,16,7.0
2009,INC,206,1.0
2009,OTHERS,125,2.0
2009,SHS,11,8.0
2009,SP,24,4.0
2009,TDP,6,9.0
2014,AITC,34,5.0
2014,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,37,4.0
2014,BJP,285,1.0
2014,INC,44,3.0
2014,OTHERS,107,2.0
2014,SHS,18,6.0
2014,SP,5,8.0
2014,TDP,16,7.0
2019,AITC,22,5.0
2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1,10.0
2019,BJP,303,1.0
2019,BSP,11,7.0
2019,DRAVIDA MUNNETRA KAZHAGAM,23,4.0
2019,INC,53,3.0
2019,OTHERS,104,2.0
2019,SHS,18,6.0
2019,SP,5,8.0
2019,TDP,3,9.0
2024,AITC,29,5.0
2024,BJP,239,1.0
2024,DRAVIDA MUNNETRA KAZHAGAM,22,6.0
2024,INC,99,2.0
2024,OTHERS,93,3.0
2024,SHS,7,8.0
2024,SP,37,4.0
2024,TDP,16,7.0
