YEAR,State,Party_Standard,Seats
2004,A&N ISLANDS,INC,1
2004,ANDHRA PRADESH,CPM,1
2004,ANDHRA PRADESH,INC,29
2004,ANDHRA PRADESH,OTHERS,7
2004,ANDHRA PRADESH,TDP,5
2004,ARUNACHAL PRADESH,BJP,2
2004,ASSAM,BJP,2
2004,ASSAM,INC,9
2004,ASSAM,OTHERS,3
2004,BIHAR,BJP,5
2004,BIHAR,INC,3
2004,BIHAR,OTHERS,33
2004,CHANDIGARH,INC,1
2004,CHHATTISGARH,BJP,10
2004,CHHATTISGARH,INC,1
2004,D&N HAVELI,OTHERS,1
2004,DAMAN & DIU,INC,1
2004,GOA,BJP,1
2004,GOA,INC,1
2004,GUJARAT,BJP,14
2004,GUJARAT,INC,12
2004,HARYANA,BJP,1
2004,HARYANA,INC,9
2004,HIMACHAL PRADESH,BJP,1
2004,HIMACHAL PRADESH,INC,3
2004,JAMMU & KASHMIR,INC,2
2004,JAMMU & KASHMIR,OTHERS,4
2004,JHARKHAND,BJP,1
2004,JHARKHAND,INC,6
2004,JHARKHAND,OTHERS,7
2004,KARNATAKA,BJP,18
2004,KARNATAKA,INC,8
2004,KARNATAKA,OTHERS,2
2004,KERALA,CPM,12
2004,KERALA,OTHERS,8
2004,LAKSHADWEEP,OTHERS,1
2004,MADHYA PRADESH,BJP,25
2004,MADHYA PRADESH,INC,4
2004,MAHARASHTRA,BJP,13
2004,MAHARASHTRA,INC,14
2004,MAHARASHTRA,OTHERS,10
2004,MAHARASHTRA,SHS,12
2004,MANIPUR,INC,1
2004,MANIPUR,OTHERS,1
2004,MEGHALAYA,AITC,1
2004,MEGHALAYA,INC,1
2004,MIZORAM,OTHERS,1
2004,NAGALAND,OTHERS,1
2004,NCT OF DELHI,BJP,1
2004,NCT OF DELHI,INC,7
2004,ORISSA,BJP,7
2004,ORISSA,INC,2
2004,ORISSA,OTHERS,12
2004,PUDUCHERRY,OTHERS,1
2004,PUNJAB,BJP,3
2004,PUNJAB,INC,2
2004,PUNJAB,OTHERS,8
2004,RAJASTHAN,BJP,21
2004,RAJASTHAN,INC,4
2004,SIKKIM,OTHERS,1
2004,TAMIL NADU,CPM,2
2004,TAMIL NADU,INC,10
2004,TAMIL NADU,OTHERS,27
2004,TRIPURA,CPM,2
2004,UTTAR PRADESH,BJP,10
2004,UTTAR PRADESH,BSP,19
2004,UTTAR PRADESH,INC,9
2004,UTTAR PRADESH,OTHERS,7
2004,UTTAR PRADESH,SP,35
2004,UTTARAKHAND,BJP,3
2004,UTTARAKHAND,INC,1
2004,UTTARAKHAND,SP,1
2004,WEST BENGAL,AITC,1
2004,WEST BENGAL,CPM,26
2004,WEST BENGAL,INC,6
2004,WEST BENGAL,OTHERS,9
2009,A&N ISLANDS,BJP,1
2009,ANDHRA PRADESH,INC,33
2009,ANDHRA PRADESH,OTHERS,3
2009,ANDHRA PRADESH,TDP,6
2009,ARUNACHAL PRADESH,INC,2
2009,ASSAM,BJP,4
2009,ASSAM,INC,7
2009,ASSAM,OTHERS,3
2009,BIHAR,BJP,12
2009,BIHAR,INC,2
2009,BIHAR,OTHERS,26
2009,CHANDIGARH,INC,1
2009,CHHATTISGARH,BJP,10
2009,CHHATTISGARH,INC,1
2009,D&N HAVELI,BJP,1
2009,DAMAN & DIU,BJP,1
2009,GOA,BJP,1
2009,GOA,INC,1
2009,GUJARAT,BJP,15
2009,GUJARAT,INC,11
2009,HARYANA,INC,9
2009,HARYANA,OTHERS,1
2009,HIMACHAL PRADESH,BJP,3
