YEAR,State,Constituency,Candidate,Party,Votes,Rank,Total_Votes_Const,Vote_Share_Percent,Is_Winner,Margin,Total_Assets,Criminal_Cases,Gender,Electors
2004,A&N ISLANDS,A&N ISLANDS,MANORANJAN BHAKTA,INC,85794.0,1.0,153825.0,55.77376889322282,1,30500,0.0,0.0,MALE,
2004,ANDHRA PRADESH,ADILABAD,MADHUSUDHAN REDDY TAKKALA,TRS,415429.0,1.0,831337.0,49.97119098512396,1,40974,0.0,0.0,MALE,
2004,ANDHRA PRADESH,AMALAPURAM,G.V. HARSHA KUMAR,INC,350346.0,1.0,704224.0,49.74922751851684,1,41485,0.0,0.0,MALE,
2004,ANDHRA PRADESH,ANAKAPALLI,CHALAPATHIRAO PAPPALA,TDP,385406.0,1.0,782106.0,49.27797510823341,1,15414,0.0,0.0,MALE,
2004,ANDHRA PRADESH,ANANTAPUR,ANANTHA VENKATA RAMI REDDY,INC,458925.0,1.0,875135.0,52.44048061156279,1,73404,0.0,0.0,MALE,
2004,ANDHRA PRADESH,BAPATLA,DAGGUBATI PURANDARESWARI,INC,411099.0,1.0,735462.0,55.89670166507583,1,94082,0.0,0.0,FEMALE,
2004,ANDHRA PRADESH,BHADRACHALAM,MIDIYAM BABU RAO,CPM,373148.0,1.0,823415.0,45.31712441478477,1,53806,0.0,0.0,MALE,
2004,ANDHRA PRADESH,BOBBILI,KONDAPALLI PYDITHALLI NAIDU,TDP,373922.0,1.0,746725.0,50.0749271820282,1,31348,0.0,0.0,MALE,
2004,ANDHRA PRADESH,CHITTOOR,D.K. AUDIKESAVULU,TDP,454128.0,1.0,875992.0,51.84156932940027,1,62138,0.0,0.0,MALE,
2004,ANDHRA PRADESH,CUDDAPAH,Y.S. VIVEKANANDA REDDY,INC,461431.0,1.0,819201.0,56.32695760869433,1,131674,0.0,0.0,MALE,
2004,ANDHRA PRADESH,ELURU,KAVURU SAMBA SIVA RAO,INC,499191.0,1.0,896946.0,55.65452100795366,1,123291,0.0,0.0,MALE,
2004,ANDHRA PRADESH,GUNTUR,RAYAPATI SAMBASIVA RAO,INC,466221.0,1.0,821478.0,56.753924024745636,1,129792,0.0,0.0,MALE,
2004,ANDHRA PRADESH,HANAMKONDA,B.VINOD KUMAR,TRS,496048.0,1.0,831926.0,59.62645716085325,1,217067,0.0,0.0,MALE,
2004,ANDHRA PRADESH,HINDUPUR,NIZAMODDIN,INC,419744.0,1.0,868063.0,48.354094115288866,1,1840,0.0,0.0,MALE,
2004,ANDHRA PRADESH,HYDERABAD,ASADUDDIN OWAISI,AIMIM,378854.0,1.0,986737.0,38.394627950507584,1,100145,0.0,3.0,MALE,
2004,ANDHRA PRADESH,KAKINADA,MALLIPUDI MANGAPATI PALLAM RAJU,INC,410982.0,1.0,832284.0,49.38001932032815,1,57252,0.0,0.0,MALE,
2004,ANDHRA PRADESH,KARIMNAGAR,K. CHANDRA SHAKHER RAO,TRS,451199.0,1.0,874498.0,51.595200903832826,1,131168,0.0,0.0,MALE,
